scenario,run,blocked,compromised,forwarded
baseline,1,0,0,0
attack_only,1,0,1,0
static_defense,1,1,0,1
adaptive_defense,1,1,0,1
baseline,2,0,0,0
attack_only,2,0,1,0
static_defense,2,1,0,1
adaptive_defense,2,1,0,1
baseline,3,0,0,0
attack_only,3,0,1,0
static_defense,3,1,0,1
adaptive_defense,3,1,0,1
baseline,4,0,0,0
attack_only,4,0,1,0
static_defense,4,1,0,1
adaptive_defense,4,1,0,1
baseline,5,0,0,0
attack_only,5,0,1,0
static_defense,5,1,0,1
adaptive_defense,5,1,0,1
baseline,6,0,0,0
attack_only,6,0,1,0
static_defense,6,1,0,1
adaptive_defense,6,1,0,1
baseline,7,0,0,0
attack_only,7,0,1,0
static_defense,7,1,0,1
adaptive_defense,7,1,0,1
baseline,8,0,0,0
attack_only,8,0,1,0
static_defense,8,1,0,1
adaptive_defense,8,1,0,1
baseline,9,0,0,0
attack_only,9,0,1,0
static_defense,9,1,0,1
adaptive_defense,9,1,0,1
baseline,10,0,0,0
attack_only,10,0,1,0
static_defense,10,1,0,1
adaptive_defense,10,1,0,1
baseline,11,0,0,0
attack_only,11,0,1,0
static_defense,11,1,0,1
adaptive_defense,11,1,0,1
baseline,12,0,0,0
attack_only,12,0,1,0
static_defense,12,1,0,1
adaptive_defense,12,1,0,1
baseline,13,0,0,0
attack_only,13,0,1,0
static_defense,13,1,0,1
adaptive_defense,13,1,0,1
baseline,14,0,0,0
attack_only,14,0,1,0
static_defense,14,1,0,1
adaptive_defense,14,1,0,1
baseline,15,0,0,0
attack_only,15,0,1,0
static_defense,15,1,0,1
adaptive_defense,15,1,0,1
baseline,16,0,0,0
attack_only,16,0,1,0
static_defense,16,1,0,1
adaptive_defense,16,1,0,1
baseline,17,0,0,0
attack_only,17,0,1,0
static_defense,17,1,0,1
adaptive_defense,17,1,0,1
baseline,18,0,0,0
attack_only,18,0,1,0
static_defense,18,1,0,1
adaptive_defense,18,1,0,1
baseline,19,0,0,0
attack_only,19,0,1,0
static_defense,19,1,0,1
adaptive_defense,19,1,0,1
baseline,20,0,0,0
attack_only,20,0,1,0
static_defense,20,1,0,1
adaptive_defense,20,1,0,1
